face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,participant
detected_faces\01209.jpg,White,Asian,Female,20-29,"[8.1882590e-01 3.0583941e-04 9.3966201e-02 2.1746464e-02 1.8357050e-02
 1.8517982e-03 4.4946708e-02]",[0.32660976 0.00292703 0.4414937  0.22896948],[0.00939605 0.990604  ],"[2.4446701e-06 3.5983781e-04 2.0204253e-02 5.3166264e-01 3.9097181e-01
 5.4633260e-02 1.9537364e-03 1.9284805e-04 1.9279003e-05]",01209
detected_faces\01208.jpg,Black,Black,Male,20-29,"[1.8810844e-03 9.8702747e-01 9.9285441e-03 1.6069012e-04 3.8089667e-04
 2.7729236e-04 3.4403501e-04]",[1.6966657e-03 9.9565774e-01 9.8023249e-04 1.6653405e-03],[0.97242224 0.02757778],"[9.6425889e-03 1.6119260e-02 1.7970325e-02 5.5806780e-01 3.5219151e-01
 4.1843213e-02 3.7965458e-03 2.9695575e-04 7.1767347e-05]",01208
detected_faces\01207.jpg,Black,Black,Female,20-29,"[3.3406224e-05 9.9949765e-01 2.9551133e-04 6.5271574e-06 3.1434291e-05
 1.2884826e-04 6.6779571e-06]",[1.6405702e-06 9.9993575e-01 9.1323764e-06 5.3443902e-05],[0.01261515 0.98738486],"[1.2727529e-06 1.9407959e-04 1.9787678e-02 4.5887020e-01 4.4133937e-01
 7.4506879e-02 5.1060379e-03 1.8458154e-04 9.8884684e-06]",01207
detected_faces\01206.jpg,East Asian,Asian,Female,30-39,"[0.05482933 0.03159238 0.26713026 0.2793687  0.23934756 0.08956883
 0.03816295]",[0.25485128 0.00864667 0.4365916  0.2999105 ],[0.09176751 0.9082325 ],"[0.00540145 0.07490484 0.06266195 0.19417259 0.3055105  0.23385999
 0.04981945 0.04826505 0.02540414]",01206
detected_faces\00010.jpg,East Asian,Asian,Male,20-29,"[0.07657172 0.01221943 0.12606107 0.46308804 0.27921134 0.01078524
 0.0320632 ]",[0.0049469  0.01081847 0.9801922  0.00404245],[0.9011386  0.09886141],"[2.0046141e-03 1.2924545e-02 2.7372479e-02 7.1475554e-01 2.2463517e-01
 1.5245291e-02 2.1087464e-03 8.0377905e-04 1.4986769e-04]",00010
detected_faces\00006.jpg,White,White,Female,20-29,"[9.4219452e-01 6.2992294e-05 2.2411827e-02 1.1572106e-02 4.3783979e-03
 7.7091111e-04 1.8609265e-02]",[8.5520017e-01 8.1491255e-04 1.3934948e-01 4.6354011e-03],[0.00181233 0.99818766],"[3.1777715e-06 1.5192433e-03 1.5836534e-01 6.6551358e-01 1.6595800e-01
 8.5525066e-03 8.3999250e-05 3.8497419e-06 2.5280798e-07]",00006
detected_faces\00005.jpg,Middle Eastern,White,Female,20-29,"[2.1541317e-01 2.6362818e-03 1.4733653e-01 6.1272853e-04 9.7475317e-04
 7.5292704e-03 6.2549728e-01]",[0.5366319  0.01241022 0.01435326 0.43660468],[0.30905262 0.6909474 ],"[8.3989607e-07 3.7802121e-04 1.1580725e-01 7.2593188e-01 1.5201822e-01
 5.8012898e-03 6.0156788e-05 2.2265822e-06 1.3955027e-07]",00005
detected_faces\00003.jpg,Black,Black,Male,20-29,"[0.01272668 0.67043334 0.10771199 0.05111935 0.05187456 0.08429039
 0.02184365]",[0.12048513 0.41323856 0.14705199 0.31922436],[0.9986557  0.00134432],"[1.3876241e-06 5.3770993e-05 1.4209717e-02 6.5128440e-01 3.1520259e-01
 1.8824330e-02 3.9016848e-04 3.0752792e-05 2.9294035e-06]",00003
detected_faces\00002.jpg,Middle Eastern,White,Male,20-29,"[0.27440053 0.01059604 0.10450071 0.01207427 0.02039906 0.12775223
 0.4502771 ]",[0.56344426 0.04124878 0.10854537 0.28676167],[0.99872714 0.00127281],"[3.7342154e-05 4.4142839e-04 1.0232056e-02 5.5142874e-01 3.9190072e-01
 4.4336755e-02 1.4187678e-03 1.8124428e-04 2.3023835e-05]",00002
detected_faces\01204.jpg,White,White,Female,20-29,"[0.6024618  0.00062208 0.08789776 0.228263   0.04083974 0.00268347
 0.03723213]",[8.7956315e-01 1.4867548e-04 1.1685683e-01 3.4313230e-03],[0.00143682 0.9985632 ],"[2.3357758e-04 3.6930360e-02 2.3399673e-01 5.4964018e-01 1.6125122e-01
 1.7305691e-02 5.2808929e-04 9.2835464e-05 2.1401011e-05]",01204
detected_faces\01201.jpg,Southeast Asian,Asian,Male,9-Mar,"[0.00269571 0.06624988 0.08892953 0.40550378 0.41882396 0.01373339
 0.00406373]",[7.914512e-04 2.932019e-02 9.631765e-01 6.711981e-03],[0.9946086  0.00539146],"[6.9843186e-03 4.3992558e-01 2.3162691e-01 1.6094472e-01 1.1901887e-01
 3.3679064e-02 5.7999860e-03 1.6594456e-03 3.6107708e-04]",01201
detected_faces\01200.jpg,White,Asian,Male,20-29,"[0.40898558 0.04344869 0.30621013 0.0466136  0.03763574 0.05588584
 0.10122041]",[0.30742645 0.15017143 0.5050563  0.03734569],[0.98818004 0.01181992],"[1.1826125e-04 2.2859534e-03 1.5731281e-02 6.9701815e-01 2.6616368e-01
 1.7610412e-02 9.8070409e-04 8.4896586e-05 6.6593298e-06]",01200
detected_faces\01199.jpg,Indian,Indian,Male,30-39,"[9.4970870e-05 3.3294879e-02 1.2150640e-02 4.4883786e-06 5.5766705e-04
 9.4644845e-01 7.4488944e-03]",[9.3988252e-05 5.3320646e-02 1.0913454e-03 9.4549406e-01],[9.9993652e-01 6.3479165e-05],"[2.8107098e-07 2.7160918e-06 5.3591467e-04 9.9658765e-02 6.8378478e-01
 2.1301204e-01 2.9588600e-03 4.5494333e-05 1.1306990e-06]",01199
detected_faces\01195.jpg,White,Black,Male,40-49,"[0.5071711  0.21338674 0.13646334 0.01623917 0.01418673 0.00619144
 0.10636143]",[0.2036701  0.76094526 0.02643914 0.00894544],[0.88715315 0.11284685],"[0.00054367 0.00305289 0.00592348 0.08719777 0.24103457 0.3487446
 0.21700457 0.07488915 0.02160923]",01195
detected_faces\01191.jpg,White,White,Male,20-29,"[0.5113122  0.2031371  0.11373933 0.00579588 0.01341328 0.00156679
 0.15103546]",[0.94679224 0.04271996 0.00810471 0.0023831 ],[0.9475464  0.05245355],"[1.1535842e-03 3.4662761e-02 1.5342665e-01 4.8107329e-01 2.9961395e-01
 2.8856169e-02 1.1256033e-03 7.6859571e-05 1.1095005e-05]",01191
detected_faces\01029.jpg,White,Asian,Female,20-29,"[0.39109418 0.00433853 0.20709166 0.2187892  0.08518705 0.05737983
 0.03611952]",[0.14357804 0.01582742 0.5725477  0.26804683],[0.25172684 0.74827313],"[1.8422777e-04 1.0354495e-02 9.0312988e-02 5.5040973e-01 2.6427156e-01
 7.6126717e-02 6.1538219e-03 1.7798279e-03 4.0665368e-04]",01029
detected_faces\01025.jpg,Latino_Hispanic,Asian,Male,20-29,"[0.02227456 0.01845798 0.25588372 0.24177365 0.20738323 0.1166181
 0.13760877]",[0.07152732 0.01413085 0.4959603  0.41838154],[0.9171853  0.08281468],"[2.6603675e-04 2.4006750e-02 2.3930264e-01 4.2452204e-01 2.4648388e-01
 5.8766142e-02 5.4644453e-03 1.0972802e-03 9.0786161e-05]",01025
detected_faces\01024.jpg,Latino_Hispanic,Asian,Male,20-29,"[0.04461917 0.03203416 0.394318   0.32334054 0.17088708 0.00988936
 0.02491163]",[0.02633906 0.00982479 0.90707046 0.05676562],[0.99494    0.00506002],"[7.7522406e-04 6.9286549e-03 3.4172453e-02 5.1353550e-01 3.7002257e-01
 6.8183221e-02 5.3093652e-03 9.2545437e-04 1.4745764e-04]",01024
detected_faces\01022.jpg,East Asian,Asian,Male,20-29,"[0.0261493  0.02938983 0.07999868 0.7310365  0.11446586 0.00865864
 0.0103012 ]",[0.0117906  0.08217262 0.60976875 0.29626802],[0.5899386  0.41006142],"[1.6068665e-03 1.2428306e-01 2.6987857e-01 4.4838387e-01 1.3542256e-01
 1.8334679e-02 1.4877021e-03 5.0066528e-04 1.0211453e-04]",01022
detected_faces\01021.jpg,White,Black,Female,20-29,"[0.4784165  0.03740796 0.11977316 0.03879569 0.07228822 0.04119454
 0.21212387]",[0.07051179 0.4769212  0.33712542 0.11544167],[0.36257213 0.6374278 ],"[0.00267492 0.01870113 0.04619033 0.3883534  0.35506362 0.1524176
 0.02689989 0.00765953 0.00203955]",01021
detected_faces\01020.jpg,White,White,Male,20-29,"[9.2724651e-01 4.5750421e-04 3.2455008e-02 5.2609141e-03 1.6985252e-03
 5.7059999e-05 3.2824557e-02]",[9.908392e-01 9.777979e-04 7.453568e-03 7.294832e-04],[0.76999575 0.23000422],"[1.6167408e-07 4.1195596e-04 4.3681762e-01 5.1679081e-01 4.4348247e-02
 1.6138798e-03 1.6828008e-05 4.6896972e-07 1.6105888e-08]",01020
detected_faces\01019.jpg,Black,Black,Female,9-Mar,"[0.04411923 0.73840004 0.07536247 0.02680286 0.06597145 0.03774102
 0.01160278]",[0.19366305 0.61174184 0.12011926 0.07447585],[0.30896956 0.69103044],"[0.06138154 0.3073815  0.08120959 0.2735793  0.19838525 0.05550858
 0.01360626 0.00589022 0.00305784]",01019
detected_faces\01018.jpg,East Asian,Asian,Female,20-29,"[0.2669518  0.01303817 0.1496377  0.36255318 0.17905265 0.00514681
 0.02361972]",[0.0400578  0.03804242 0.9201109  0.00178889],[0.43886444 0.56113553],"[9.7901575e-02 1.5413955e-01 6.5433852e-02 5.1224297e-01 1.4457373e-01
 2.1752458e-02 2.9434529e-03 8.0381066e-04 2.0862260e-04]",01018
detected_faces\01015.jpg,Latino_Hispanic,Black,Female,20-29,"[0.1252014  0.02049152 0.35404164 0.26756096 0.21019734 0.00606459
 0.01644257]",[0.00499846 0.53504807 0.36856866 0.0913849 ],[0.24700865 0.7529913 ],"[1.6282856e-02 2.4615721e-01 1.2896693e-01 4.7057071e-01 1.2058626e-01
 1.5663123e-02 1.3588418e-03 3.6374133e-04 5.0258546e-05]",01015
detected_faces\01012.jpg,White,White,Female,20-29,"[8.5484755e-01 5.2289810e-04 8.5473629e-03 9.8764949e-02 2.3445208e-02
 1.6590298e-04 1.3706102e-02]",[9.90841806e-01 1.02957565e-04 8.56665149e-03 4.88656864e-04],[0.00225144 0.9977486 ],"[3.5512232e-04 1.4261825e-02 2.8376365e-02 5.7437247e-01 3.2641798e-01
 5.4283943e-02 1.6963598e-03 1.8993531e-04 4.6000132e-05]",01012
detected_faces\01010.jpg,Latino_Hispanic,Indian,Female,20-29,"[2.4743010e-01 3.3281202e-04 3.3785626e-01 2.0092446e-03 1.6431969e-03
 1.5259095e-01 2.5813743e-01]",[0.4039353  0.00071052 0.01500543 0.58034873],[4.1445994e-05 9.9995857e-01],"[1.2757091e-07 7.3429965e-04 1.2969008e-01 8.1240582e-01 5.5621393e-02
 1.5419534e-03 5.9436302e-06 3.2681081e-07 1.3553891e-08]",01010
detected_faces\01009.jpg,White,White,Female,20-29,"[8.5944223e-01 9.2099464e-05 4.3106705e-02 4.0049590e-03 1.6558545e-03
 1.4840739e-03 9.0214051e-02]",[9.8221439e-01 7.6667720e-04 1.3152818e-02 3.8661109e-03],[0.00536296 0.9946371 ],"[1.29730142e-06 4.15681134e-04 8.73142257e-02 7.15320408e-01
 1.86803237e-01 1.00157764e-02 1.19112265e-04 9.55849282e-06
 7.22668062e-07]",01009
detected_faces\01003.jpg,White,White,Male,30-39,"[9.6544075e-01 3.2899166e-05 3.0630711e-02 1.7619535e-05 3.1802265e-05
 5.7989237e-05 3.7882666e-03]",[9.9940109e-01 2.7288520e-06 5.7218689e-04 2.3994842e-05],[9.9969411e-01 3.0591164e-04],"[1.0085854e-06 2.6508525e-05 2.6286913e-03 1.0850338e-01 7.0406789e-01
 1.8248674e-01 2.2531219e-03 3.1977292e-05 5.9841966e-07]",01003
detected_faces\01002.jpg,White,White,Female,20-29,"[5.5843312e-01 4.8516603e-04 9.5487662e-02 2.4615847e-01 9.4788298e-02
 5.3296727e-04 4.1143685e-03]",[7.8483278e-01 9.5102564e-04 2.1411522e-01 1.0091337e-04],[0.00122167 0.99877834],"[2.1515502e-06 1.4228434e-03 1.1644320e-01 7.7630150e-01 1.0055328e-01
 5.2306461e-03 4.2177264e-05 3.8767530e-06 3.6761352e-07]",01002
detected_faces\01001.jpg,White,White,Male,20-29,"[6.9099826e-01 6.3045515e-04 4.2390719e-02 1.6113862e-03 1.0620977e-03
 6.0746417e-04 2.6269966e-01]",[0.83851165 0.02059587 0.13938402 0.00150851],[0.9953172  0.00468272],"[4.1494397e-07 1.6887418e-04 8.6597078e-02 8.4658384e-01 6.5913565e-02
 7.3100289e-04 5.0551657e-06 1.7720964e-07 1.0792892e-08]",01001
detected_faces\01000.jpg,East Asian,White,Male,20-29,"[0.3426374  0.00357663 0.03365988 0.36474305 0.07825047 0.00469042
 0.17244221]",[0.72891617 0.00250888 0.2675547  0.00102028],[0.58180445 0.41819555],"[7.2661322e-03 2.4398055e-02 9.0954952e-02 5.9788829e-01 2.4448431e-01
 2.9511172e-02 4.1992608e-03 1.0937677e-03 2.0401158e-04]",01000
detected_faces\00999.jpg,White,Asian,Male,20-29,"[6.9389015e-01 7.4828207e-04 2.1594316e-02 2.2151318e-01 3.4458548e-02
 5.1025860e-04 2.7285375e-02]",[0.1500123  0.02245623 0.8252537  0.00227775],[0.9986216 0.0013784],"[6.3693738e-06 6.1144005e-05 5.4905717e-03 5.3713673e-01 4.2564049e-01
 3.0999832e-02 6.2330108e-04 3.9679260e-05 1.9316092e-06]",00999
detected_faces\00998.jpg,Latino_Hispanic,Asian,Male,9-Mar,"[0.03196889 0.13558492 0.26339304 0.08928993 0.2313084  0.21639499
 0.03205983]",[0.01003543 0.23851885 0.50383    0.24761574],[0.6314634  0.36853665],"[9.0928771e-02 3.6355057e-01 1.2961258e-01 2.2906983e-01 1.4896975e-01
 3.3722740e-02 3.1233779e-03 8.4861380e-04 1.7371678e-04]",00998
detected_faces\00997.jpg,Black,Black,Male,20-29,"[3.6187510e-03 8.7472218e-01 7.6051377e-02 1.6106578e-02 2.7791178e-02
 1.2075052e-03 5.0234725e-04]",[1.7866297e-04 8.5107291e-01 1.4566390e-01 3.0845220e-03],[0.8393575  0.16064252],"[8.4591374e-02 2.5760126e-01 8.4586851e-02 3.6510903e-01 1.7341226e-01
 2.8900830e-02 4.2042681e-03 1.2662162e-03 3.2788145e-04]",00997
detected_faces\00992.jpg,East Asian,White,Female,20-29,"[0.05158338 0.00453212 0.0282091  0.6659142  0.22549139 0.00284089
 0.02142903]",[0.80863404 0.05633967 0.11841288 0.0166134 ],[0.04734582 0.9526542 ],"[2.4342921e-03 1.8233754e-02 5.8719393e-02 5.6222773e-01 2.9454073e-01
 5.4412737e-02 7.8028128e-03 1.4753912e-03 1.5320256e-04]",00992
detected_faces\00991.jpg,East Asian,Asian,Female,20-29,"[0.3772803  0.00095668 0.05026241 0.43781063 0.11562721 0.00441943
 0.01364333]",[0.39275512 0.00477539 0.5916286  0.01084082],[0.01883285 0.9811672 ],"[1.1087514e-03 8.7444842e-02 9.0474628e-02 5.3517634e-01 2.3901498e-01
 4.2043407e-02 2.9586086e-03 1.2448594e-03 5.3356186e-04]",00991
detected_faces\00989.jpg,Black,Black,Male,50-59,"[0.01702932 0.46500695 0.39234486 0.00155854 0.01545116 0.09940497
 0.00920417]",[0.02476767 0.52406555 0.26783904 0.18332775],[0.63490975 0.36509022],"[8.7083848e-05 2.0670168e-04 1.0165995e-03 3.7769792e-03 3.9029110e-02
 2.3299740e-01 3.8468423e-01 2.9428226e-01 4.3919619e-02]",00989
detected_faces\00986.jpg,Middle Eastern,Asian,Male,30-39,"[0.34342965 0.00113233 0.05028006 0.08184174 0.05016441 0.00235824
 0.47079352]",[2.6175228e-01 5.8614422e-04 7.2982830e-01 7.8333169e-03],[0.99663424 0.0033658 ],"[0.0319426  0.06911478 0.04447889 0.17046693 0.42229995 0.21946543
 0.03452588 0.00705687 0.00064868]",00986
detected_faces\00984.jpg,White,Asian,Male,20-29,"[0.31636322 0.05561031 0.08359303 0.22417606 0.14734888 0.14564228
 0.02726624]",[0.02133177 0.23097952 0.69231224 0.05537646],[0.61346394 0.3865361 ],"[0.0071751  0.03406678 0.04383767 0.33034444 0.23761804 0.17837466
 0.066374   0.06815924 0.03405006]",00984
detected_faces\00983.jpg,Black,Black,Male,30-39,"[0.00603783 0.9156609  0.01517104 0.00207026 0.00714693 0.05220307
 0.00170994]",[0.00231109 0.9668702  0.01619018 0.01462855],[0.9025167  0.09748329],"[9.2353053e-05 1.7310452e-03 9.9179819e-03 1.7320213e-01 3.7159488e-01
 2.8336382e-01 1.2622340e-01 2.9441699e-02 4.4327374e-03]",00983
detected_faces\00982.jpg,White,White,Male,30-39,"[0.3667017  0.35495067 0.0927568  0.02449861 0.01222065 0.02445086
 0.12442077]",[0.73640114 0.11244258 0.08344381 0.06771255],[0.80668664 0.1933134 ],"[0.00255502 0.00741334 0.01232837 0.20791702 0.3508281  0.30999824
 0.08795474 0.01907749 0.00192765]",00982
detected_faces\00981.jpg,Latino_Hispanic,Asian,Female,20-29,"[0.0236435  0.2502954  0.2858175  0.06804184 0.1733584  0.1483679
 0.05047546]",[0.00420508 0.06375992 0.89889264 0.03314231],[0.23116416 0.7688358 ],"[0.00219552 0.04974005 0.1706281  0.3475209  0.31782877 0.08430309
 0.01738026 0.00849474 0.00190856]",00981
detected_faces\00980.jpg,Latino_Hispanic,Indian,Female,20-29,"[0.266656   0.00968281 0.33468762 0.1525005  0.15256856 0.03639833
 0.04750611]",[0.07451831 0.06831145 0.40328342 0.45388684],[0.18403816 0.81596184],"[0.00074619 0.0170969  0.06944191 0.38605806 0.37474725 0.12233409
 0.02001728 0.00821927 0.00133908]",00980
detected_faces\00976.jpg,White,White,Female,20-29,"[0.4384952  0.02966028 0.21386106 0.1703023  0.11874527 0.00279013
 0.02614573]",[9.2983085e-01 1.1432814e-02 5.8013193e-02 7.2313036e-04],[0.3517416 0.6482584],"[0.13788106 0.09354111 0.02662643 0.291156   0.28189677 0.11363431
 0.03112477 0.01722951 0.00691005]",00976
detected_faces\00974.jpg,White,White,Female,30-39,"[8.6353058e-01 3.2688113e-04 9.6797667e-02 1.5440299e-03 1.1144161e-03
 4.4530316e-04 3.6240987e-02]",[0.915361   0.02885475 0.02073995 0.03504433],[0.24528117 0.75471884],"[1.5145568e-05 2.3161244e-04 9.7199297e-03 3.0592746e-01 5.3081352e-01
 1.4672598e-01 6.3241352e-03 2.3521393e-04 6.9423309e-06]",00974
detected_faces\00971.jpg,White,Asian,Male,20-29,"[0.646837   0.00203059 0.05595254 0.16395408 0.05648977 0.00237883
 0.07235708]",[0.29461637 0.00915704 0.6844425  0.01178407],[0.90721446 0.09278553],"[1.4857080e-06 1.0016028e-04 3.9437432e-02 7.7373159e-01 1.7785011e-01
 8.6099450e-03 2.5129769e-04 1.6476830e-05 1.6052543e-06]",00971
detected_faces\00969.jpg,White,White,Female,30-39,"[9.4941515e-01 3.6530211e-05 1.4827926e-02 2.5246968e-03 1.9075923e-03
 9.8101264e-05 3.1189997e-02]",[9.9554896e-01 6.1821978e-05 3.8069885e-03 5.8215385e-04],[0.00169274 0.9983073 ],"[1.0543307e-05 4.2828135e-04 1.8259967e-02 3.0120155e-01 5.2935094e-01
 1.4456330e-01 5.8876392e-03 2.7752324e-04 2.0254718e-05]",00969
detected_faces\00968.jpg,Latino_Hispanic,Indian,Male,30-39,"[0.02156694 0.13119541 0.7329114  0.01164953 0.06966183 0.01898403
 0.01403091]",[0.06359471 0.28884676 0.15618093 0.4913776 ],[9.9953544e-01 4.6456102e-04],"[9.0297581e-06 2.1983494e-04 2.1636134e-02 4.3292686e-01 4.4381583e-01
 9.5701508e-02 5.5689178e-03 1.1576762e-04 6.1432402e-06]",00968
detected_faces\00965.jpg,Latino_Hispanic,Asian,Female,30-39,"[0.26034325 0.00506915 0.61124843 0.0159131  0.06011016 0.03062591
 0.01669003]",[0.10963508 0.05745016 0.786611   0.04630374],[0.35409492 0.6459051 ],"[5.8174985e-05 9.1030914e-03 2.0547771e-01 2.7040261e-01 3.6203521e-01
 1.3950911e-01 1.2358692e-02 9.8614453e-04 6.9277579e-05]",00965
detected_faces\00963.jpg,Middle Eastern,Asian,Male,30-39,"[0.07354251 0.04695559 0.17056848 0.19309813 0.23455319 0.02500407
 0.2562781 ]",[0.01685077 0.03183633 0.94599247 0.00532042],[9.9953371e-01 4.6623632e-04],"[0.00385839 0.06933434 0.12392657 0.24791978 0.32067266 0.18220772
 0.04281216 0.00860345 0.00066489]",00963
detected_faces\00961.jpg,White,Asian,Male,40-49,"[0.39939538 0.00357466 0.1229253  0.38753846 0.06600332 0.00277474
 0.01778812]",[0.01237949 0.06536713 0.87877035 0.04348302],[0.6584104 0.3415896],"[0.00751384 0.01105924 0.01944277 0.06776074 0.18017589 0.28922153
 0.24456261 0.16058654 0.01967682]",00961
detected_faces\00960.jpg,East Asian,Asian,Female,20-29,"[0.08433672 0.08676296 0.25135514 0.35969064 0.19808029 0.00563639
 0.01413781]",[0.04102906 0.19618826 0.6678902  0.09489244],[0.10977281 0.8902272 ],"[5.4274965e-04 8.0563597e-02 1.6851257e-01 5.6987989e-01 1.5472078e-01
 2.3767408e-02 1.6734890e-03 2.8280573e-04 5.6802128e-05]",00960
detected_faces\00956.jpg,Middle Eastern,White,Male,20-29,"[4.46029127e-01 3.25484463e-04 3.53626981e-02 1.22300070e-03
 1.59091316e-03 1.05841435e-04 5.15362859e-01]",[0.94970554 0.01648618 0.03212763 0.00168065],[0.94663846 0.05336155],"[4.9772498e-06 5.0927175e-04 5.0268508e-02 5.4446656e-01 3.8343221e-01
 2.1103034e-02 2.0881581e-04 6.3393159e-06 2.7507727e-07]",00956
detected_faces\00955.jpg,Middle Eastern,White,Male,20-29,"[0.25943083 0.02582977 0.09259467 0.00072622 0.00228067 0.0022698
 0.616868  ]",[0.9219882  0.04963388 0.01070121 0.01767673],[0.99170625 0.00829376],"[8.4085459e-06 2.9187274e-04 3.3444706e-02 6.7396826e-01 2.7666736e-01
 1.4968030e-02 6.2225328e-04 2.7618997e-05 1.5805226e-06]",00955
detected_faces\00953.jpg,White,White,Male,30-39,"[9.3938220e-01 4.2836587e-03 8.0223866e-03 2.1678579e-04 3.3946073e-04
 3.2102491e-03 4.4545297e-02]",[9.9877679e-01 2.0434009e-04 2.3881774e-04 7.8012975e-04],[0.9976847  0.00231529],"[1.4708328e-05 2.8719671e-05 3.7665671e-04 6.7734227e-02 4.2938423e-01
 4.2436105e-01 7.2391219e-02 5.1323976e-03 5.7682832e-04]",00953
